,BFC02,BFC04,BMC01,BMC02,BMC03,BMC04,BMC05,BMC08,BMC09,BMC10,WFC01,WFC03,WMC01,WMC02,WMC03,WMC04,WMC05,WMC07,WMC08,WMC09,BFA03,BFA02,BMA02,BMA04,WFA01,WFA02,WMA01,WMA02
FROWN,4,"""x""",4,2,1,2,4,1,3,2,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
FUND,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
GATE,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
GLARE,4,"""x""",4,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
GRASP,4,"""x""",4,2,3,2,4,1,3,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
GRAZE,4,"""x""",4,2,3,2,4,1,3,2,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
GRILL,4,"""x""",4,2,2,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
GROUND,4,"""x""",4,2,4,2,4,2,3,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
GYM,4,"""x""",4,2,1,2,4,1,2,3,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
HAIR,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
HALL,4,"""x""",4,2,3,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
HALT,4,"""x""",4,2,4,2,4,1,3,3,1,1,2,2,3,3,3,3,3,1,1,"""x""",4,1,"""x""",2,"""x""","""x"""
HEAL,4,"""x""",4,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
HERD,4,"""x""",4,2,3,2,4,1,3,3,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
HIVE,4,"""x""",3,2,3,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
HOG,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
HOOD,4,"""x""",4,2,3,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
HORN,4,"""x""",4,2,3,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
HOUND,4,"""x""",4,2,4,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
ILL,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
JACK,4,"""x""",3,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
JERK,4,"""x""",4,2,1,2,4,1,4,3,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
JOG,4,"""x""",4,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,3,1,"""x""",4,5,"""x""",2,"""x""","""x"""
JOINT,4,"""x""",4,2,1,2,1,1,3,3,1,1,2,2,3,3,3,4,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
KEG,4,"""x""",4,2,3,2,2,1,4,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
KING,4,"""x""",4,2,3,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
LASH,4,"""x""",4,2,1,2,1,1,3,2,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
LIME,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
LOAF,4,"""x""",3,2,2,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
LOAN,4,"""x""",4,2,4,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
LOBE,4,"""x""",4,2,2,2,1,1,2,3,1,1,2,3,3,3,3,4,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
LOW,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,3,3,3,4,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
MAID,4,"""x""",4,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
MAIL,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
MAIN,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
MARCH,4,"""x""",4,2,2,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
MARE,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
MASS,4,"""x""",4,2,3,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
MEAT,4,"""x""",4,2,3,2,4,1,3,3,1,1,2,2,3,3,3,4,3,2,1,"""x""",4,5,"""x""",2,"""x""","""x"""
MIST,4,"""x""",4,2,1,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
MOLD,4,"""x""",3,2,3,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
MOLE,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
MOOSE,4,"""x""",3,2,1,2,4,1,4,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
NAP,4,"""x""",4,3,3,2,2,1,2,3,1,1,2,2,2,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
NOSE,4,"""x""",4,2,2,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
NUT,4,"""x""",4,2,2,2,4,1,4,3,1,1,2,2,3,3,2,4,3,1,1,"""x""",4,1,"""x""",2,"""x""","""x"""
OAK,4,"""x""",4,2,4,2,4,1,3,3,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
ODD,4,"""x""",3,2,4,2,2,1,3,3,1,1,1,2,3,3,3,3,2,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
PAGE,4,"""x""",4,3,2,2,4,1,3,3,1,1,2,3,3,3,3,3,2,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
PAIL,4,"""x""",3,3,1,2,4,1,2,3,1,1,2,3,3,3,3,3,3,3,1,"""x""",4,3,"""x""",2,"""x""","""x"""
